Wavelength;Abs_001;Std.Dev_001;Abs_002;Std.Dev_002;Abs_004;Std.Dev_004;Abs_006;Std.Dev_006;Abs_008;Std.Dev_008;Abs_01;Std.Dev_01;Abs_03;Std.Dev_03;Abs_05;Std.Dev_05;Abs_08;Std.Dev_08;Abs_1;Std.Dev_1;Abs_2;Std.Dev_2;Abs_4;Std.Dev_4;Abs_6;Std.Dev_6;Abs_8;Std.Dev_8;Abs_acida;Std.Dev_acida;Abs_basica;Std.Dev_basica
726;3,01E-03;7,02E-05;2,97E-03;8,10E-05;5,32E-03;8,95E-05;1,52E-02;7,53E-05;4,62E-03;9,55E-05;6,12E-03;6,92E-05;5,00E-03;8,97E-05;5,58E-03;7,73E-05;5,08E-03;7,49E-05;5,77E-03;7,28E-05;7,62E-03;8,76E-05;1,25E-02;8,46E-05;1,39E-02;6,84E-05;1,31E-02;1,03E-04;1,39E-02;9,39E-05;8,11E-03;7,78E-05
727;2,90E-03;5,41E-05;2,81E-03;6,95E-05;5,21E-03;7,44E-05;1,52E-02;7,87E-05;4,37E-03;7,93E-05;6,11E-03;4,56E-05;4,89E-03;5,33E-05;5,45E-03;5,55E-05;5,02E-03;6,32E-05;5,64E-03;5,67E-05;7,62E-03;5,61E-05;1,23E-02;5,71E-05;1,37E-02;5,27E-05;1,30E-02;7,75E-05;1,39E-02;8,22E-05;7,91E-03;5,14E-05
728;2,79E-03;4,24E-05;2,74E-03;4,77E-05;5,16E-03;4,80E-05;1,49E-02;5,58E-05;4,41E-03;7,38E-05;6,03E-03;4,82E-05;4,76E-03;3,90E-05;5,37E-03;4,86E-05;4,99E-03;5,37E-05;5,63E-03;5,10E-05;7,55E-03;6,66E-05;1,22E-02;4,13E-05;1,36E-02;4,34E-05;1,30E-02;9,59E-05;1,38E-02;7,74E-05;7,79E-03;4,79E-05
729;2,87E-03;5,66E-05;2,79E-03;5,72E-05;5,28E-03;4,88E-05;1,50E-02;6,31E-05;4,28E-03;7,97E-05;6,05E-03;5,85E-05;4,79E-03;5,61E-05;5,35E-03;5,48E-05;4,90E-03;5,31E-05;5,60E-03;4,45E-05;7,50E-03;6,81E-05;1,22E-02;5,15E-05;1,36E-02;4,69E-05;1,29E-02;8,44E-05;1,39E-02;8,04E-05;7,74E-03;5,81E-05
730;2,90E-03;5,05E-05;2,79E-03;6,95E-05;5,38E-03;5,41E-05;1,52E-02;6,32E-05;4,28E-03;7,12E-05;6,11E-03;6,87E-05;4,88E-03;5,88E-05;5,42E-03;6,54E-05;4,90E-03;5,61E-05;5,65E-03;5,84E-05;7,64E-03;5,66E-05;1,24E-02;6,35E-05;1,37E-02;5,51E-05;1,28E-02;7,98E-05;1,42E-02;7,30E-05;7,70E-03;5,55E-05
731;2,82E-03;6,49E-05;2,56E-03;7,23E-05;5,16E-03;6,07E-05;1,51E-02;7,51E-05;4,04E-03;7,20E-05;6,02E-03;8,14E-05;4,50E-03;6,96E-05;5,30E-03;6,88E-05;4,79E-03;7,01E-05;5,54E-03;7,70E-05;7,48E-03;6,97E-05;1,23E-02;6,71E-05;1,34E-02;6,89E-05;1,27E-02;8,78E-05;1,40E-02;7,47E-05;7,37E-03;6,69E-05
732;2,51E-03;6,27E-05;2,45E-03;6,30E-05;5,02E-03;4,58E-05;1,47E-02;5,94E-05;3,87E-03;5,87E-05;5,81E-03;7,96E-05;4,41E-03;6,34E-05;4,99E-03;5,01E-05;4,69E-03;5,18E-05;5,42E-03;5,42E-05;7,26E-03;6,03E-05;1,20E-02;6,02E-05;1,31E-02;5,45E-05;1,25E-02;7,47E-05;1,37E-02;7,72E-05;7,13E-03;5,41E-05
733;2,66E-03;5,80E-05;2,43E-03;6,19E-05;4,95E-03;7,05E-05;1,48E-02;7,96E-05;3,90E-03;7,97E-05;5,91E-03;7,15E-05;4,53E-03;5,94E-05;5,10E-03;5,93E-05;4,73E-03;5,66E-05;5,54E-03;6,51E-05;7,33E-03;5,89E-05;1,20E-02;6,08E-05;1,33E-02;6,80E-05;1,25E-02;7,98E-05;1,40E-02;9,32E-05;7,16E-03;5,91E-05
734;2,66E-03;6,65E-05;2,50E-03;6,67E-05;4,99E-03;7,47E-05;1,49E-02;7,70E-05;3,86E-03;6,49E-05;5,90E-03;6,09E-05;4,43E-03;5,33E-05;5,06E-03;6,83E-05;4,62E-03;6,19E-05;5,36E-03;8,80E-05;7,30E-03;6,07E-05;1,22E-02;6,43E-05;1,31E-02;5,58E-05;1,24E-02;7,23E-05;1,40E-02;7,02E-05;7,02E-03;5,68E-05
735;2,83E-03;7,70E-05;2,48E-03;5,90E-05;5,09E-03;6,20E-05;1,54E-02;7,26E-05;3,83E-03;5,28E-05;6,06E-03;7,52E-05;4,44E-03;6,29E-05;5,18E-03;5,74E-05;4,76E-03;6,18E-05;5,50E-03;6,22E-05;7,48E-03;5,85E-05;1,25E-02;6,18E-05;1,31E-02;5,91E-05;1,22E-02;9,95E-05;1,43E-02;7,18E-05;7,12E-03;5,40E-05
